================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-03T14:41:49.252972
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260303_144149.log
================================================================================

[2026-03-03T14:41:49.254966] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-03T14:41:50.139617] [CONNECTED] Conexão estabelecida em DEMO-EU
  Data: {"url": "wss://demo-api-eu.po.market/socket.io/?EIO=4&transport=websocket", "region": "DEMO-EU", "total_reconnects": 0}
[2026-03-03T14:41:50.360011] [AUTH] Autenticação bem-sucedida
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "user_name": "ATIVOS Client 1", "is_demo": true}
[2026-03-03T14:41:50.888618] [PING] Ping enviado
[2026-03-03T14:41:50.888618] [RECV] Mensagem recebida (50 bytes): 451-["updateAssets",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:50.889612] [RECV] Mensagem recebida (44247 bytes): [[5,"#AAPL","Apple","stock",2,50,60,30,3,0,170,0,[],1772571600,false,[{"time":60},{"time":120},{"time":180},{"time":300},{"time":600},{"time":900},{"time":1800},{"time":2700},{"time":3600},{"time":720...
[2026-03-03T14:41:50.892604] [RECV] Mensagem recebida (49 bytes): 451-["successauth",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.103600] [RECV] Mensagem recebida (29 bytes): {"id":"ScgTqLGKC_cfYlWjEQ0_"}
[2026-03-03T14:41:51.103600] [RECV] Mensagem recebida (58 bytes): 451-["successupdatePending",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.104598] [RECV] Mensagem recebida (2 bytes): []
[2026-03-03T14:41:51.104598] [RECV] Mensagem recebida (58 bytes): 451-["successupdateBalance",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.105646] [RECV] Mensagem recebida (28 bytes): {"isDemo":1,"balance":50000}
[2026-03-03T14:41:51.105646] [RECV] Mensagem recebida (50 bytes): 451-["updateCharts",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.106597] [RECV] Mensagem recebida (484 bytes): [{"chart_id":"chart-1","settings":"{\"chartId\":\"chart-1\",\"chartType\":1,\"chartPeriod\":4,\"candlesTimer\":false,\"symbol\":\"EURUSD_otc\",\"demoDealAmount\":10,\"liveDealAmount\":1,\"enabledTrade...
[2026-03-03T14:41:51.106597] [RECV] Mensagem recebida (55 bytes): 451-["updateOpenedDeals",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.106597] [RECV] Mensagem recebida (2 bytes): []
[2026-03-03T14:41:51.107602] [RECV] Mensagem recebida (55 bytes): 451-["updateClosedDeals",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:51.107602] [RECV] Mensagem recebida (2 bytes): []
[2026-03-03T14:41:52.381994] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:52.661707] [RECV] Mensagem recebida (37251 bytes): {"asset":"EURUSD_otc","period":1,"history":[[1772566181.202,1.17597],[1772566181.702,1.176],[1772566182.219,1.17598],[1772566182.72,1.17596],[1772566183.1,1.17596],[1772566183.72,1.17594],[1772566184....
[2026-03-03T14:41:52.708670] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:52.777077] [RECV] Mensagem recebida (37257 bytes): {"asset":"AUDCHF_otc","period":1,"history":[[1772566180.1,0.48983],[1772566180.701,0.48986],[1772566181.201,0.48994],[1772566181.702,0.49004],[1772566182.218,0.49001],[1772566182.72,0.48982],[17725661...
[2026-03-03T14:41:52.820291] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:52.864437] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566912.311,0.49283]]
[2026-03-03T14:41:53.080826] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
